replicate,attempt_id,n_sampled_group_draws,n_unique_sampled_groups,n_sampled_trials,n_genuine,n_impostor,x_vector_eer,x_vector_auc,x_vector_min_dcf,x_vector_cllr,x_vector_cllr_min,x_vector_calibration_loss,ecapa_tdnn_eer,ecapa_tdnn_auc,ecapa_tdnn_min_dcf,ecapa_tdnn_cllr,ecapa_tdnn_cllr_min,ecapa_tdnn_calibration_loss,difference_eer,difference_auc,difference_min_dcf,difference_cllr,difference_cllr_min,difference_calibration_loss
57,57,87,57,23691,10790,12901,0.13883225208526415,0.9396575862997165,0.2731965731187796,0.4797837637212238,0.45110727773640413,0.028676485984819644,0.048285449490268764,0.9909500373522496,0.09511534298517282,0.18073073362944797,0.17240316714539977,0.008327566484048199,0.09054680259499538,-0.051292451052533106,0.17808123013360677,0.2990530300917758,0.27870411059100436,0.020348919500771445
58,58,87,52,27374,14516,12858,0.20969964177459355,0.8731900486356234,0.41569858111844316,0.6801870545024025,0.6331535149346513,0.04703353956775114,0.08033908850521077,0.9775133266734791,0.15966353291765178,0.29279430489675984,0.2842937396943674,0.008500565202392452,0.12936055326938278,-0.10432327803785568,0.25603504820079137,0.38739274960564263,0.34885977524028394,0.038532974365358685
59,59,87,61,26473,13283,13190,0.19061958894827977,0.89702564919493,0.3770877994680107,0.597895753635088,0.5777126135482729,0.0201831400868151,0.05879695851840699,0.9863898127866357,0.11652871698318468,0.22432987842282304,0.217721618612142,0.0066082598106810275,0.13182263042987277,-0.08936416359170574,0.260559082484826,0.3735658752122649,0.35999099493613085,0.013574880276134071
60,60,87,58,25987,12871,13116,0.15958355994095252,0.9178766287344882,0.31759956145398416,0.5437639325118006,0.5157274908743952,0.028036441637405374,0.049862763037511436,0.9897033833918479,0.09775199318150084,0.18677658013550807,0.18191812191877457,0.004858458216733502,0.10972079690344108,-0.07182675465735977,0.2198475682724833,0.3569873523762925,0.33380936895562063,0.02317798342067187
61,61,87,57,27403,14663,12740,0.19982268294346314,0.8878150062347898,0.3935458925384978,0.6334675378230914,0.5977116212328987,0.03575591659019273,0.07919937205651491,0.978104790932998,0.15730636847880444,0.2924858884868005,0.2814714926385112,0.011014395848289338,0.12062331088694823,-0.09028978469820814,0.23623952405969337,0.3409816493362909,0.3162401285943875,0.02474152074190339
62,62,87,47,26847,13466,13381,0.17666716174068023,0.9139532570510891,0.34493098690079893,0.5547269402049113,0.5319285885291369,0.022798351675774375,0.07351849101440665,0.980709134530671,0.14540769977687706,0.28632858991574967,0.2679396119607233,0.018388977955026364,0.10314867072627358,-0.0667558774795819,0.19952328712392187,0.26839835028916165,0.26398897656841364,0.004409373720748011
63,63,87,53,24894,12296,12598,0.15143135979180222,0.9242917601476125,0.29887106038560096,0.5291413980760655,0.4922443449981634,0.03689705307790214,0.045086521670106364,0.990890885206242,0.08956389582962998,0.17533673602527827,0.16684232210048178,0.008494413924796496,0.10634483812169586,-0.06659912505862953,0.20930716455597098,0.35380466205078726,0.3254020228976816,0.028402639153105647
64,64,87,53,26898,14177,12721,0.16893559991535587,0.9171547512574149,0.33496542363987697,0.5370496416550392,0.5240786530609951,0.012970988594044108,0.06744752771008569,0.9842445519482738,0.133142775518631,0.2457661019789804,0.23958777641519044,0.0061783255637899714,0.10148807220527017,-0.0670898006908589,0.20182264812124598,0.2912835396760588,0.28449087664580464,0.006792663030254137
65,65,87,56,23903,11065,12838,0.15291459557162224,0.923438219694455,0.30165624715994027,0.531956388957793,0.4996584250149675,0.03229796394282547,0.05203302695123851,0.9889277638044589,0.10392471176319568,0.2047791593697727,0.1901731686792933,0.014605990690479409,0.10088156862038372,-0.06548954411000385,0.1977315353967446,0.32717722958802026,0.3094852563356742,0.01769197325234606
66,66,87,58,25479,12872,12607,0.16236793039154754,0.9170278303366439,0.32384264900038023,0.545783064214857,0.5212089088752081,0.024574155339648907,0.0672642182914254,0.9834067153346349,0.1337301610581354,0.24571393069803096,0.2403968241149429,0.005317106583088066,0.09510371210012214,-0.06637888499799094,0.19011248794224483,0.30006913351682607,0.2808120847602652,0.01925704875656084
67,67,87,54,26690,13771,12919,0.2002759421973713,0.8801474326421079,0.3916652969009201,0.6628359711541598,0.612894842243294,0.04994112891086577,0.06644397647229686,0.9833120965541491,0.1315435580532898,0.24489049684447803,0.2395065331359398,0.00538396370853822,0.13383196572507444,-0.10316466391204115,0.26012173884763035,0.41794547430968176,0.3733883091073542,0.04455716520232755
